"question category","question type","is correct","question/answer text","points","attempts","random","is feedback","correct feedback text","incorrect feedback text"
"algebra2-inversefunctions","mchoice","",<p>Solve the following: </p><p><img src="images/algebra2-inversefunctions/problems/problem1/question/question1.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/algebra2-inversefunctions/120000-algebra2-inversefunctions"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/algebra2-inversefunctions/120000-algebra2-inversefunctions"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/algebra2-inversefunctions/problems/problem1/options/forQuiz/option1_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/algebra2-inversefunctions/problems/problem1/options/forQuiz/option1_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/algebra2-inversefunctions/problems/problem1/options/forQuiz/option1_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/algebra2-inversefunctions/problems/problem1/options/forQuiz/option1_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"algebra2-inversefunctions","mchoice","",<p>Solve the following: </p><p><img src="images/algebra2-inversefunctions/problems/problem2/question/question2.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/algebra2-inversefunctions/120001-algebra2-inversefunctions"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/algebra2-inversefunctions/120001-algebra2-inversefunctions"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/algebra2-inversefunctions/problems/problem2/options/forQuiz/option2_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/algebra2-inversefunctions/problems/problem2/options/forQuiz/option2_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/algebra2-inversefunctions/problems/problem2/options/forQuiz/option2_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/algebra2-inversefunctions/problems/problem2/options/forQuiz/option2_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"algebra2-inversefunctions","mchoice","",<p>Solve the following: </p><p><img src="images/algebra2-inversefunctions/problems/problem3/question/question3.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/algebra2-inversefunctions/120002-algebra2-inversefunctions"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/algebra2-inversefunctions/120002-algebra2-inversefunctions"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/algebra2-inversefunctions/problems/problem3/options/forQuiz/option3_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/algebra2-inversefunctions/problems/problem3/options/forQuiz/option3_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/algebra2-inversefunctions/problems/problem3/options/forQuiz/option3_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/algebra2-inversefunctions/problems/problem3/options/forQuiz/option3_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"algebra2-inversefunctions","mchoice","",<p>Solve the following: </p><p><img src="images/algebra2-inversefunctions/problems/problem4/question/question4.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/algebra2-inversefunctions/120003-algebra2-inversefunctions"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/algebra2-inversefunctions/120003-algebra2-inversefunctions"  target="_blank"/>Click for Complete solution</a>
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/algebra2-inversefunctions/problems/problem4/options/forQuiz/option4_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
