"question category","question type","is correct","question/answer text","points","attempts","random","is feedback","correct feedback text","incorrect feedback text"
"trig-precalc","mchoice","",<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem1/question/new_question1.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/trig-precalc/12000-trig-precalc"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/trig-precalc/12000-trig-precalc"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem1/options/forQuiz/option1_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem1/options/forQuiz/option1_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem1/options/forQuiz/option1_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem1/options/forQuiz/option1_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"trig-precalc","mchoice","",<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem2/question/new_question2.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/trig-precalc/12001-trig-precalc"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/trig-precalc/12001-trig-precalc"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem2/options/forQuiz/option2_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem2/options/forQuiz/option2_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem2/options/forQuiz/option2_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem2/options/forQuiz/option2_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"trig-precalc","mchoice","",<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem4/question/new_question4.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/trig-precalc/12003-trig-precalc"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/trig-precalc/12003-trig-precalc"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem4/options/forQuiz/option4_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem4/options/forQuiz/option4_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem4/options/forQuiz/option4_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem4/options/forQuiz/option4_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"trig-precalc","mchoice","",<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem5/question/new_question5.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/trig-precalc/12004-trig-precalc"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/trig-precalc/12004-trig-precalc"  target="_blank"/>Click for Complete solution</a>
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem5/options/forQuiz/option5_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem5/options/forQuiz/option5_2.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem5/options/forQuiz/option5_3.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"","","FALSE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem5/options/forQuiz/option5_4.jpg" alt="" /></p>,"0","","","","Incorrect: Check solution",""
"trig-precalc","mchoice","",<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem6/question/new_question6.jpg" alt="" /></p>,"10","1","1","TRUE",<a href="https://www.mathproblemsolved.com/index.php/trig-precalc/12005-trig-precalc"  target="_blank"/>Click for Complete solution</a>,<a href="https://www.mathproblemsolved.com/index.php/trig-precalc/12005-trig-precalc"  target="_blank"/>Click for Complete solution</a>
"","","TRUE",<p><img src="https://mathproblemsolved.com/images/trig-precalc/problems/problem6/options/forQuiz/option6_1.jpg" alt="" /></p>,"0","","","","Correct. Check the solution if needed",""
