group,problem_text,correct_answers,incorrect_options,level,point_value,result_text,status
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem1/question/new_question1.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem1/options/option1_1.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem1/options/option1_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem1/options/option1_3.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem1/options/option1_4.jpg" alt="" /></p>,A,B | C | D,1,1,<p><img src="images/trig-precalc/problems/problem1/options/option1_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem2/question/new_question2.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem2/options/option2_1.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem2/options/option2_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem2/options/option2_3.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem2/options/option2_4.jpg" alt="" /></p>,A,B | C | D,1,1,<p><img src="images/trig-precalc/problems/problem2/options/option2_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem3/question/new_question3.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem3/options/option3_1.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem3/options/option3_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem3/options/option3_3.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem3/options/option3_4.jpg" alt="" /></p>,A,B | C | D,1,1,<p><img src="images/trig-precalc/problems/problem3/options/option3_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem4/question/new_question4.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem4/options/option4_1.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem4/options/option4_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem4/options/option4_3.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem4/options/option4_4.jpg" alt="" /></p>,A,B | C | D,1,1,<p><img src="images/trig-precalc/problems/problem4/options/option4_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem5/question/new_question5.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem5/options/option5_1.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem5/options/option5_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem5/options/option5_3.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem5/options/option5_4.jpg" alt="" /></p>,A,B | C | D,1,1,<p><img src="images/trig-precalc/problems/problem5/options/option5_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem6/question/new_question6.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem6/options/option6_3.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem6/options/option6_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem6/options/option6_1.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem6/options/option6_4.jpg" alt="" /></p>,C,A | B | D,1,1,<p><img src="images/trig-precalc/problems/problem6/options/option6_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem7/question/new_question7.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem7/options/option7_3.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem7/options/option7_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem7/options/option7_1.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem7/options/option7_4.jpg" alt="" /></p>,C,A | B | D,1,1,<p><img src="images/trig-precalc/problems/problem7/options/option7_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem8/question/new_question8.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem8/options/option8_3.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem8/options/option8_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem8/options/option8_1.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem8/options/option8_4.jpg" alt="" /></p>,C,A | B | D,1,1,<p><img src="images/trig-precalc/problems/problem8/options/option8_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem9/question/question9.jpg" alt="" /></p><p>A:<img src="images/trig-precalc/problems/problem9/options/option9_2.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem9/options/option9_1.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem9/options/option9_3.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem9/options/option9_4.jpg" alt="" /></p>,B,A | C | D,1,1,<p><img src="images/trig-precalc/problems/problem9/options/option9_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem10/question/new_question10.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem10/options/option10_4.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem10/options/option10_1.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem10/options/option10_2.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem10/options/option10_1.jpg" alt="" /></p>,D,A | B | C,1,1,<p><img src="images/trig-precalc/problems/problem10/options/option10_1.jpg" alt="" /></p>,1
1,<p>Solve the following: </p><p><img src="images/trig-precalc/problems/problem11/question/new_question11.jpg" alt="" /></p>,<p>A:<img src="images/trig-precalc/problems/problem11/options/option11_1.jpg" alt="" /></p><p>B:<img src="images/trig-precalc/problems/problem11/options/option11_2.jpg" alt="" /></p><p>C:<img src="images/trig-precalc/problems/problem11/options/option11_3.jpg" alt="" /></p><p>D:<img src="images/trig-precalc/problems/problem11/options/option11_4.jpg" alt="" /></p>,A,B | C | D,1,1,<p><img src="images/trig-precalc/problems/problem11/options/option11_1.jpg" alt="" /></p>,1
